Date,wh
1993-1,2.177000046
1993-2,0.291000009
1993-3,2.164000034
1993-4,1.57980001
1993-5,2.310600281
1993-6,0.482666731
1993-7,1.271777749
1993-8,0.473181844
1993-9,0.410900027
1993-10,2.001000166
1993-11,1.241000056
1993-12,1.731545329
1994-1,1.117555499
1994-2,0.551666677
1994-3,0.768600047
1994-4,0.654199958
1994-5,1.075285792
1994-6,1.744444489
1994-7,2.001062393
1994-8,2.327052832
1994-9,0.518142879
1994-10,2.768230677
1994-11,1.546750069
1994-12,1.376882315
1995-1,2.475312471
1995-2,1.66161108
1995-3,0.738333404
1995-4,0.702000022
1995-5,1.462000132
1995-6,1.8950001
1995-7,1.412500024
1995-8,1.64833343
1995-9,0.824714303
1995-10,1.418900013
1995-11,1.967500091
1995-12,1.800500274
1996-1,1.154500008
1996-2,2.042142868
1996-3,0.69416672
1996-4,0.404000014
1996-5,1.852428555
1996-6,1.982000113
1996-7,1.669000149
1996-8,0.901333332
1996-9,2.234571695
1996-10,1.280714393
1996-11,2.232000113
1996-12,1.62442863
1997-1,1.383857131
1997-2,4.651167393
1997-3,2.146833658
1997-4,2.076333284
1997-5,1.907999992
1997-6,1.272666812
1997-7,1.534894705
1997-8,1.855900049
1997-9,1.079999924
1997-10,0.632550001
1997-11,0.824631572
1997-12,0.469263136
1998-1,0.596947432
1998-2,0.724684179
1998-3,1.468421102
1998-4,2.66775012
1998-5,1.566923141
1998-6,1.573789477
1998-7,0.836058915
1998-8,1.679933429
1998-9,1.690421104
1998-10,1.235579014
1998-11,1.052210569
1998-12,0.986099899
1999-1,2.461789608
1999-2,2.90036869
1999-3,1.523842216
1999-4,1.28137517
1999-5,0.714312553
1999-6,1.054800034
1999-7,1.357684255
1999-8,1.05979991
1999-9,0.819052637
1999-10,0.780099988
1999-11,1.307684302
1999-12,0.622062445
2000-1,2.098437548
2000-2,2.379555702
2000-3,1.834789515
2000-4,2.393549919
2000-5,1.39084208
2000-6,1.429579139
2000-7,1.651473641
2000-8,2.22884202
2000-9,2.167947531
2000-10,3.111315966
2000-11,1.167055726
2000-12,1.279894829
2001-1,2.179105282
2001-2,2.755947828
2001-3,2.212368488
2001-4,2.251105547
2001-5,1.940250158
2001-6,1.307700157
2001-7,0.841315746
2001-8,0.863684177
2001-9,0.627299964
2001-10,1.846500158
2001-11,1.740263343
2001-12,1.707052708
2002-1,1.929157853
2002-2,1.557105303
2002-3,1.357579112
2002-4,1.62915802
2002-5,1.418250084
2002-6,0.935736835
2002-7,0.65257895
2002-8,2.112421036
2002-9,1.601578951
2002-10,0.61135
2002-11,0.713684261
2002-12,0.708157837
2003-1,1.244450092
2003-2,0.886000037
2003-3,1.228500128
2003-4,0.741315782
2003-5,0.842294157
2003-6,0.657999992
2003-7,0.611400008
2003-8,2.234421253
2003-9,1.908599854
2003-10,1.895789266
2003-11,2.905842304
2003-12,1.546052694
2004-1,1.030157924
2004-2,0.738100111
2004-3,1.601526499
2004-4,0.615888894
2004-5,0.785684228
2004-6,1.740368485
2004-7,1.349900126
2004-8,1.646052718
2004-9,1.840555668
2004-10,1.779157996
2004-11,1.091666698
2004-12,1.786909223
2005-1,1.44078958
2005-2,1.080105186
2005-3,1.812526345
2005-4,0.903333366
2005-5,0.830263257
2005-6,2.762600183
2005-7,2.983684301
