lat lon wh tt qc back ws
-17.145576 147.41917 1.802 8609.77932779945 1.0 10.07 11.34
-17.096067 147.43909 1.57 8609.77933955437 1.0 10.12 11.16
-17.046555 147.45897 1.5740001 8609.7793514902 1.0 10.17 10.98
-17.034817 147.3516 0.44500002 8611.309896828025 1.0 12.29 4.5099998
-17.133854 147.39139 0.601 8611.309920428204 1.0 12.349999 4.41
-17.183369 147.4113 0.407 8611.30993227358 1.0 12.389999 4.3399997
-17.23288 147.43123 0.546 8611.309944118955 1.0 12.4 4.3199997
-17.282389 147.45117 0.943 8611.309955873876 1.0 12.42 4.29
-17.331892 147.47113 0.84900004 8611.309967719135 1.0 12.38 4.35
-17.381393 147.4911 1.2320001 8611.309979474056 1.0 12.429999 4.27
-17.430893 147.51108 0.95600003 8611.309991319431 1.0 12.42 4.29
-17.480389 147.53108 1.0320001 8611.310003164806 1.0 12.44 4.25
-17.52988 147.55109 0.93700004 8611.310014919727 1.0 12.389999 4.3399997
-17.579369 147.5711 0.97300005 8611.310026765103 1.0 12.4 4.3199997
-17.628855 147.59114 0.96400005 8611.310038520023 1.0 12.48 4.19
-17.678335 147.61119 0.85700005 8611.310050365282 1.0 12.7 3.85
-17.826763 147.6714 0.61800003 8611.310085810954 1.0 13.21 3.23
-17.876232 147.69151 0.735 8611.310097565874 1.0 13.24 3.1999998
-17.925697 147.71162 0.703 8611.310109411133 1.0 13.309999 3.12
-17.97516 147.73175 0.75500005 8611.310121166054 1.0 13.349999 3.09
-17.958689 147.09077 1.381 8619.694776475662 1.0 11.11 7.6299996
-17.909233 147.11089 1.274 8619.694788411492 1.0 11.12 7.6
-17.859774 147.131 1.506 8619.694800166413 1.0 11.07 7.77
-17.81031 147.1511 1.549 8619.694811921334 1.0 11.08 7.74
-17.760845 147.17116 1.618 8619.694823676255 1.0 11.01 7.99
-17.711376 147.19122 1.4510001 8619.694835611968 1.0 10.96 8.16
-17.661903 147.21127 1.4250001 8619.694847366889 1.0 10.929999 8.2699995
-17.612429 147.23131 1.4150001 8619.69485912181 1.0 10.88 8.44
-17.562948 147.25134 1.5410001 8619.694871057523 1.0 10.87 8.48
-17.513468 147.27135 1.534 8619.694882812444 1.0 10.849999 8.55
-17.463982 147.29135 1.4900001 8619.694894567365 1.0 10.78 8.8
-17.414492 147.31133 1.794 8619.694906322286 1.0 10.719999 9.01
-17.365002 147.3313 1.8850001 8619.694918258116 1.0 10.719999 9.01
-17.315504 147.35126 1.6860001 8619.694930013036 1.0 10.71 9.05
-17.266006 147.3712 1.6830001 8619.694941767957 1.0 10.69 9.12
-17.216505 147.39114 1.8460001 8619.69495370367 1.0 10.7699995 8.83
-17.167002 147.41106 1.6980001 8619.694965458591 1.0 10.73 8.98
-17.117493 147.43097 1.8750001 8619.694977213512 1.0 10.7 9.08
-17.067982 147.45085 1.6320001 8619.694989149342 1.0 10.719999 9.01
-17.018469 147.47073 1.725 8619.695000904263 1.0 10.7 9.08
-17.012264 147.3424 1.9130001 8621.225534351543 1.0 10.48 9.87
-17.061789 147.3623 2.056 8621.225546196802 1.0 10.5 9.8
-17.11131 147.3822 1.6940001 8621.225557997008 1.0 10.48 9.87
-17.160828 147.4021 1.8930001 8621.225569797098 1.0 10.49 9.83
-17.210342 147.42203 1.937 8621.225581597188 1.0 10.5 9.8
-17.259853 147.44197 1.9540001 8621.225593397394 1.0 10.5199995 9.73
-17.309362 147.46191 1.8790001 8621.225605197484 1.0 10.53 9.69
-17.358868 147.48187 1.8930001 8621.225617042859 1.0 10.54 9.65
-17.40837 147.50185 1.6980001 8621.225628842949 1.0 10.54 9.65
-17.457869 147.52184 1.7010001 8621.225640643039 1.0 10.59 9.48
-17.507364 147.54184 1.7390001 8621.225652443245 1.0 10.62 9.37
-17.556856 147.56186 1.7420001 8621.225664243335 1.0 10.65 9.26
-17.606344 147.58188 1.774 8621.225676043425 1.0 10.7 9.08
-17.65583 147.60191 1.8670001 8621.2256878888 1.0 10.75 8.91
-17.705313 147.62198 1.8960001 8621.22569968889 1.0 10.76 8.87
-17.754791 147.64204 1.858 8621.225711489096 1.0 10.79 8.76
-17.804268 147.66212 1.6700001 8621.225723289186 1.0 10.87 8.48
-17.85374 147.68222 1.511 8621.225735089392 1.0 10.92 8.3
-17.90321 147.70232 1.6470001 8621.225746889482 1.0 10.99 8.059999
-17.952675 147.72244 1.6010001 8621.225758689572 1.0 11.0199995 7.95
-17.966984 147.0899 1.1680001 8629.610415943316 1.0 11.3 6.98
-17.917528 147.11003 1.2210001 8629.610427698237 1.0 11.34 6.85
-17.86807 147.13013 1.36 8629.610439453158 1.0 11.25 7.1499996
-17.818607 147.15022 1.4210001 8629.610451388871 1.0 11.16 7.46
-17.769142 147.1703 1.353 8629.610463143792 1.0 11.07 7.77
-17.719673 147.19037 1.4690001 8629.610474898713 1.0 11.0 8.0199995
-17.6702 147.21042 1.485 8629.610486653633 1.0 10.969999 8.13
-17.620726 147.23045 1.531 8629.610498589464 1.0 10.96 8.16
-17.571247 147.25047 1.3570001 8629.610510344384 1.0 11.0 8.0199995
-17.521767 147.2705 1.389 8629.610522099305 1.0 11.01 7.99
-17.47228 147.29048 1.417 8629.610534035019 1.0 10.99 8.059999
-17.422792 147.31047 1.6190001 8629.61054578994 1.0 10.969999 8.13
-17.3733 147.33044 1.488 8629.61055754486 1.0 10.95 8.2
-17.323807 147.3504 1.4260001 8629.610569480574 1.0 10.94 8.23
-17.274307 147.37035 1.5150001 8629.610581235494 1.0 10.92 8.3
-17.224808 147.39029 1.5300001 8629.610592990415 1.0 10.95 8.2
-17.175303 147.4102 1.559 8629.610604745336 1.0 10.88 8.44
-17.125795 147.43011 1.5740001 8629.610616681166 1.0 10.84 8.59
-17.076284 147.45001 1.595 8629.610628436087 1.0 10.7699995 8.83
-17.026772 147.4699 1.728 8629.610640191007 1.0 10.7699995 8.83
-17.04551 147.35785 2.6810002 8631.141183878528 1.0 9.75 12.5
-17.095034 147.37775 2.6710002 8631.141195678734 1.0 9.74 12.54
-17.144554 147.39766 2.456 8631.141207478824 1.0 9.76 12.46
-17.19407 147.41757 2.5370002 8631.141219301615 1.0 9.7699995 12.429999
-17.243586 147.4375 2.48 8631.141231101705 1.0 9.83 12.21
-17.293097 147.45744 2.5990002 8631.141242901795 1.0 9.86 12.099999
-17.342604 147.4774 2.4680002 8631.141254724585 1.0 9.86 12.099999
-17.392109 147.49738 2.469 8631.141266524675 1.0 9.9 11.96
-17.44161 147.51736 2.378 8631.141278324882 1.0 9.95 11.78
-17.491108 147.53735 2.4020002 8631.141290147556 1.0 9.969999 11.7
-17.540604 147.55736 2.2380002 8631.141301947646 1.0 9.96 11.74
-17.590094 147.57738 2.358 8631.141313747852 1.0 9.969999 11.7
-17.639582 147.59741 2.5140002 8631.141325570527 1.0 9.969999 11.7
-17.689068 147.61746 2.403 8631.141337370733 1.0 9.96 11.74
-17.738548 147.63753 2.309 8631.141349170823 1.0 10.0 11.599999
-17.788029 147.65761 2.3760002 8631.141360993613 1.0 9.95 11.78
