soi,Wh
-0.6,1.373795438
-0.4,0.71374927
-0.5,1.546530326
-1.1,0.591537702
-0.2,1.314410043
-0.7,0.969535629
-0.3,1.292180677
-0.1,1.114224422
-0.3,1.529670084
-0.6,1.70501647
0.3,2.553056812
0.1,1.440686186
-0.1,1.056683064
0,1.009089321
-0.3,1.490825872
1.1,1.140818238
-1.3,1.092065775
1.2,1.262981042
0.4,1.214287698
-0.9,2.27704246
1,0.994641721
-0.8,1.946672869
-0.5,1.365580034
-0.3,1.054653406
-0.3,1.999533534
-0.1,0.618778819
-0.7,1.175300324
-0.8,0.576423353
0.3,1.467183391
-3.1,1.174452323
0.3,1.322860142
-0.6,1.843452382
-0.8,0.878804296
0.4,1.474947417
0.2,1.647412618
-0.3,1.311866724
0.4,1.261532438
1.2,0.830236773
-0.2,0.800339901
0,0.86611113
1.7,1.045338833
0.1,1.592912138
1.8,2.213346827
1.1,1.693465829
-0.5,1.737657219
-0.2,1.986060739
-0.6,1.542983383
-1,1.653600156
-0.6,1.711712539
-1.3,1.610079467
0.1,0.928191572
-0.3,1.165899479
-0.8,1.280063367
-0.1,2.403283954
0.2,1.16383333
-0.1,1.714777827
-0.1,1.720771968
0.5,1.44238618
-0.3,1.369390935
0.4,1.471855462
0.2,1.170836419
0.7,0.783450067
0.9,1.918163687
1.7,0.890970618
1.8,1.809953272
2.6,1.140221253
1.4,2.593016386
0.7,1.77398774
-0.1,1.74666698
0.6,1.952213089
0.3,1.38463475
1,1.440702731
1.2,1.451434129
1.3,1.550696542
1.3,0.699349255
1.4,0.906375198
1.1,1.421325409
1.9,1.144338368
0.4,1.623571648
0.8,1.33019555
-0.1,1.545852655
0.1,1.247395492
0.2,1.535573107
-0.2,1.457997477
0.3,0.905030605
-1.2,1.471487622
-0.6,1.20830063
-0.7,1.1358285
-1.1,1.245411323
-1.5,0.782228346
-0.7,1.881287792
1.2,1.490080474
0.9,1.18717996
0.4,1.939212605
1.8,2.185677884
1.8,1.468395367
2.2,1.018720361
1.7,1.776086246
1.3,1.040522553
2.9,0.755287051
2.3,1.136177555
2.7,1.148461632
2.5,1.137414256
1.9,2.02734835
0.4,1.827223267
0.2,1.305900233
1,1.385385191
0.4,1.613382164
1,1.813847572
0.8,1.121983749
1.1,1.285366808
2.5,1.110845328
1.1,0.845019566
0.5,1.38536795
0.7,1.667698458
-0.3,1.181648388
0,2.031294226
-0.4,1.465877858
0,1.918930686
-0.2,1.054762983
0.2,1.073095767
0.3,1.774215689
0.3,1.14524815
-0.6,1.418135403
-0.1,1.335738257
-0.2,1.382332561
1.5,1.961711377
0.2,1.761228008
0.8,2.118283798
1.2,1.224902141
0.8,2.194325137
0.2,1.09520066
0.3,0.98249526
-0.1,1.164854838
0.7,0.918091272
0.1,1.240451191
1.4,1.193379749
0.1,1.350504926
-0.9,2.354236831
0.8,2.002102211
0.5,1.645563007
0.2,1.835622966
-0.2,1.251873076
-0.7,1.530553599
-0.7,1.038140016
-0.6,1.176939238
-0.9,1.018593664
-0.6,0.696680593
-0.8,1.542183766
0.2,1.440013283
-0.7,1.547556513
0,1.146729882
-0.7,1.411952186
-0.6,2.216522864
-1.1,1.692367098
-1.4,1.103144315
-1.6,0.94947958
-1.7,1.516734418
-0.5,0.867059922
-0.6,1.102541814
-2.2,0.838440691
-2,1.173403336
-0.1,1.249590393
-1.2,1.810318987
0.4,1.607463637
0.6,1.219572155
0.4,1.324987166
0.7,1.348093585
1.2,0.973039087
-0.3,1.13937009
-0.1,1.165784854
0.3,0.846919932
0.2,0.794504015
-0.1,1.346251094
0.9,0.976623965
-0.2,1.678051907
0.3,1.64352438
-0.4,1.619100212
0.8,1.526604313
0.5,1.072012277
0.6,1.109136241
0.9,1.076740764
0.9,1.305514338
-0.1,0.798848329
1.1,1.554241827
-0.5,1.721798328
1.5,1.546868846
0.5,1.531016096
0.4,1.832533263
-0.1,1.664182035
0.2,1.10865255
-0.3,1.104281164
-0.9,1.362124964
0.4,0.859911538
-0.1,1.14720301
1,1.517231036
