lat lon wh tt qc
-18.041565 150.59604 2.002000093460083 8594.445733868633 1
-18.091017 150.6162 1.9530000686645508 8594.445745623554 1
-18.140467 150.63637 2.19100022315979 8594.44575746893 1
-18.189913 150.65656 2.244000196456909 8594.44576922385 1
-18.239355 150.67676 1.9320000410079956 8594.44578106911 1
-18.288794 150.69696 2.004000186920166 8594.445792914485 1
-18.33823 150.7172 1.902000069618225 8594.445804669405 1
-18.387663 150.73743 1.9240001440048218 8594.44581651478 1
-18.437092 150.75769 2.0980000495910645 8594.445828269701 1
-18.486517 150.77795 2.2200000286102295 8594.44584011496 1
-18.535938 150.79823 2.386000156402588 8594.445851869881 1
-18.585358 150.81854 2.201000213623047 8594.445863715257 4
-18.634771 150.83885 2.075000047683716 8594.445875560632 1
-18.684183 150.85918 2.142000198364258 8594.445887315553 1
-18.733591 150.87952 2.2039999961853027 8594.445899160928 1
-18.782995 150.89986 1.909000039100647 8594.445910915849 4
-18.832396 150.92023 1.9910000562667847 8594.445922761108 4
-18.881792 150.94061 1.9000000953674316 8594.445934606483 4
-18.931187 150.96101 1.7320001125335693 8594.445946361404 1
-18.980577 150.98141 1.8570001125335693 8594.44595820678 1
-18.001774 150.57762 3.2300002574920654 8604.361369176768 1
-18.05123 150.59776 3.122000217437744 8604.361381022143 1
-18.100681 150.61792 3.1640000343322754 8604.361392777064 1
-18.150131 150.63809 3.497000217437744 8604.36140462244 1
-18.199577 150.6583 3.2260000705718994 8604.361416467698 1
-18.24902 150.6785 3.076000213623047 8604.361428222619 1
-18.29846 150.6987 3.509000062942505 8604.361440067994 1
-18.347895 150.71893 3.25600004196167 8604.361451822915 1
-18.397327 150.73918 3.4210002422332764 8604.36146366829 1
-18.446756 150.75945 3.3680002689361572 8604.361475423211 4
-18.496181 150.77971 3.638000249862671 8604.36148726847 4
-18.545605 150.8 3.620000123977661 8604.361499113846 4
-18.595022 150.8203 3.6620001792907715 8604.361510868766 4
-18.644438 150.8406 3.555000066757202 8604.361522714142 4
-18.69385 150.86093 4.4110002517700195 8604.361534469062 4
-18.743258 150.88129 2.9690001010894775 8604.361546314438 4
-18.792662 150.90164 3.132000207901001 8604.361558159697 4
-18.842064 150.92201 3.324000120162964 8604.361569914618 4
-18.89146 150.9424 3.765000104904175 8604.361581759993 4
-18.940853 150.9628 3.319000244140625 8604.361593514914 4
-18.990246 150.98322 2.690000057220459 8604.36160536029 4
-18.003082 150.5766 0.8770000338554382 8614.277012939448 1
-18.052542 150.59674 0.7590000629425049 8614.277024739538 1
-18.101995 150.6169 0.812000036239624 8614.277036584914 1
-18.151445 150.63708 0.8410000205039978 8614.277048385004 1
-18.200893 150.65727 0.7640000581741333 8614.27706018521 1
-18.250338 150.67747 0.5700000524520874 8614.2770719853 1
-18.29978 150.6977 0.5450000166893005 8614.27708378539 1
-18.349216 150.71791 0.6440000534057617 8614.277095585596 1
-18.398651 150.73816 0.8960000276565552 8614.277107385686 4
-18.44808 150.75842 0.7770000100135803 8614.277119231061 4
-18.497507 150.77869 0.7790000438690186 8614.277131031151 4
-18.546932 150.79898 0.9310000538825989 8614.277142831357 1
-18.596352 150.81927 0.7330000400543213 8614.277154631447 1
-18.64577 150.8396 0.7050000429153442 8614.277166431537 1
-18.695183 150.85992 0.8330000638961792 8614.277178231743 1
-18.74459 150.88026 0.6000000238418579 8614.277190077002 1
-18.793997 150.90062 0.6760000586509705 8614.277201877208 1
-18.8434 150.92099 0.6360000371932983 8614.277213677298 1
-18.8928 150.94138 0.4870000183582306 8614.277225477388 1
-18.942194 150.96178 0.9340000152587891 8614.277237277594 1
-18.991587 150.9822 0.7860000133514404 8614.277249077684 1
-18.025389 150.58678 2.0990002155303955 8624.19266108761 1
-18.074846 150.60692 2.067000150680542 8624.1926728877 1
-18.124302 150.62709 2.183000087738037 8624.192684687907 1
-18.173752 150.64728 2.0260000228881836 8624.192696487997 1
-18.2232 150.66747 2.1570000648498535 8624.192708288087 1
-18.272644 150.68768 2.123000144958496 8624.192720088293 1
-18.322084 150.7079 2.2290000915527344 8624.192731933552 1
-18.371523 150.72813 2.2220001220703125 8624.192743733758 1
-18.420958 150.74838 2.114000082015991 8624.192755533848 1
-18.470387 150.76865 2.1080000400543213 8624.192767333938 1
-18.519815 150.78893 1.9930001497268677 8624.192779134144 1
-18.569239 150.80922 2.0440001487731934 8624.192790934234 1
-18.618658 150.82953 2.065999984741211 8624.19280277961 1
-18.668076 150.84985 1.9510000944137573 8624.1928145797 1
-18.717487 150.87018 1.8960001468658447 8624.192826379789 1
-18.766897 150.89053 1.8540000915527344 8624.192838179995 1
-18.816303 150.91089 1.9170000553131104 8624.192849980085 1
-18.865705 150.93127 1.9320000410079956 8624.192861780291 1
-18.915106 150.95166 1.725000023841858 8624.19287362555 1
-18.9645 150.97208 1.7720000743865967 8624.192885425757 1
-18.002886 150.58102 1.9310001134872437 8634.108296712278 1
-18.052345 150.60117 1.787000060081482 8634.108308512368 1
-18.101803 150.62132 1.5390000343322754 8634.108320312458 1
-18.151257 150.64151 1.6090000867843628 8634.108332135249 1
-18.200708 150.6617 1.8190001249313354 8634.108343935339 1
-18.250154 150.6819 1.8090001344680786 8634.108355735545 1
-18.299599 150.70212 1.8330000638961792 8634.10836755822 1
-18.34904 150.72234 1.7710000276565552 8634.10837935831 1
-18.398476 150.74258 1.8870000839233398 8634.108391158516 1
-18.447908 150.76285 1.6500000953674316 8634.10840298119 1
-18.49734 150.78311 1.9840000867843628 8634.108414781396 1
-18.546764 150.8034 1.5670000314712524 8634.108426581486 1
