date,period,period_rolling,power,power_rolling,wh,wh_rolling
1985-04-05 21:27:30.469790,5.194037603685515,5.194037603685515,9.467101278051679,9.467101278051679,1.3633999824523926,1.3633999824523926
1985-04-14 09:26:31.513184,5.569864779713976,5.381951191699745,9.970135905690453,9.718618591871067,1.3511250019073486,1.3572624921798706
1985-05-07 11:06:14.088943,5.315129022900933,5.442496901307454,9.432404954893718,9.701270430292087,1.34530770778656,1.3482163548469543
1985-05-30 12:45:54.566106,6.179490669520977,5.747309846210954,25.03579501285896,17.23409998387634,2.0326924324035645,1.6890000700950623
1985-06-02 12:54:42.804684,5.682882956676059,5.725834216365989,14.732457079310432,16.400219015687707,1.6260000467300415,1.668000062306722
1985-06-25 14:34:14.719868,4.322023360683719,5.394798995626918,3.6087283094269327,14.458993467198775,0.9227856993675232,1.5271593928337097
1985-08-10 17:53:29.313367,5.121675617468771,5.121675617468769,9.09394844928472,9.093948449284724,1.345666766166687,1.345666766166687
1985-09-02 19:32:58.781247,5.294743058069123,5.208209337768946,27.787484638241168,18.440716543762946,2.313499927520752,1.8295833468437195
1985-09-05 19:41:45.054690,5.488117706164584,5.301512127234159,31.029988007916913,22.6371403651476,2.4012999534606934,2.0201555490493774
1985-09-28 21:21:12.227023,4.629636225569389,5.137498996601031,8.1597965981031,22.325756414753727,1.3407059907913208,2.018501957257589
1985-10-16 11:10:26.379465,3.5235204883887894,4.076578356979088,0.3636473272055205,4.26172196265431,0.32442858815193176,0.8325672894716263
1985-11-08 12:49:40.654948,5.608650400915888,4.566085444652337,20.254025855716197,10.308836591460858,1.9190832376480105,1.121755912899971
1985-11-14 00:39:52.969910,6.1583110777234,5.096827322342691,12.074364218695568,10.897345800539094,1.4140626192092896,1.2191914816697438
1985-12-07 02:18:58.426560,5.188205417955083,5.651722298864789,8.27773656595328,13.53537554678835,1.2756000757217407,1.5362486441930134
1986-01-19 17:56:10.249999,4.969924917076548,4.969924917076544,1.291242792118233,1.2912427921182366,0.5147500038146973,0.5147500038146973
1986-02-11 19:35:15.709374,6.189665565316229,5.579795241196386,0.5900445182754627,0.9406436551968496,0.3118000030517578,0.41327500343322754
1986-03-12 09:03:50.362630,3.4583557168161683,4.824010641066197,1.0767699820384047,0.8334072501569354,0.5635000467300415,0.43765002489089966
1986-04-04 10:42:45.532226,6.499002220955573,4.978678968885869,45.40788641479603,23.24232819841722,2.66937518119812,1.6164376139640808
1986-04-07 10:51:29.847656,4.82423322188208,4.927197053217939,15.30932549728142,20.597993964705285,1.7990001440048218,1.6772917906443279
1986-04-27 12:21:35.900392,4.217593244652012,5.18027622916322,0.5823332074124801,20.433181706496644,0.3752500414848328,1.6145417888959248
1986-04-30 12:30:16.296876,5.250681143209234,5.197877457674724,17.962109089716964,19.815413552301724,1.867833495140076,1.6778647154569626
1986-05-20 14:00:18.828125,8.143097786506816,5.870457391456019,33.52269632564451,17.355712874257986,2.049000024795532,1.4306945204734802
1986-06-15 15:47:27.441408,5.41368598266358,6.778391884585195,13.13039723406764,23.326546779856073,1.5727500915527344,1.8108750581741333
1986-07-08 17:26:04.973959,5.587744140805353,5.500715061734464,12.069789844035006,12.600093539051322,1.484222173690796,1.5284861326217654
1986-07-31 19:04:30.748437,6.301668280902113,5.944706210853731,41.593768999258536,26.83177942164677,2.594500064849853,2.0393611192703247
1986-08-23 20:43:03.382813,5.494466655978023,5.8980674684400665,12.799237784212576,27.196503391735554,1.5413334369659424,2.067916750907898
1986-09-07 10:23:24.462890,5.34485025337279,5.419658454675405,16.419029739223646,14.609133761718109,1.7700001001358032,1.655666768550873
1986-09-15 22:21:26.709374,4.338072146661666,5.059129685337492,1.0727920973631864,10.097019873599802,0.5022000074386597,1.2711778481801352
1986-09-30 12:01:47.789062,5.054542589898063,4.9124883299775055,4.547248624789888,7.346356820458905,0.9578571319580078,1.0766857465108237
1986-11-09 14:52:02.053126,4.54779008880685,4.547790088806845,5.312351755633521,5.312351755633517,1.091466784477234,1.0914667844772346
1986-11-26 16:04:46.157366,5.910331387400895,5.22906073810387,12.286909775204462,8.79963076541899,1.4560716152191162,1.2737691998481755
1986-12-02 03:51:46.059461,5.274504237561878,5.244208571256539,8.744931942646415,8.781397824494798,1.3003333806991575,1.282623926798503
1986-12-13 17:17:25.153647,3.9325379139815135,5.039124512981427,0.9717303713787706,7.334524029743215,0.5020000338554382,1.086135009924571
1986-12-19 05:04:29.324870,6.2362131605275035,5.338396674867946,9.950863388081222,7.988608869327717,1.2756667137145996,1.1335179358720782
1987-02-02 20:55:42.984375,4.2719780233718305,4.271978023371824,5.384138853300064,5.384138853300058,1.1337333917617798,1.133733391761781
1987-02-08 08:42:42.046875,7.163233567396604,5.717605795384214,18.095192356526116,11.739665604913087,1.6050714254379272,1.369402408599854
1987-02-19 22:08:26.952008,4.983277436222142,5.472829675663523,7.777737268904261,10.419022826243479,1.2616428136825562,1.3334825436274214
1987-03-14 11:08:07.810936,5.008681101948106,4.9959792690851215,22.323548612077094,15.050642940490675,2.132000207901001,1.696821510791779
1987-03-31 12:20:53.035590,4.929146873828512,4.968913987888307,16.68110184348555,19.50232522778132,1.857777953147888,1.994889080524445
1987-04-17 13:33:33.140626,5.494827528632013,5.21198720123026,9.438744017468178,13.059922930476862,1.3235714435577393,1.5906746983528142
1987-05-21 15:59:00.583334,5.476565182226352,5.476565182226347,17.151567586986108,17.151567586986104,1.7871668338775637,1.7871668338775648
1987-06-07 17:11:40.910156,5.320288579771406,5.398426880998876,16.320503562275242,16.736035574630673,1.7687501907348633,1.777958512306214
