lat lon wh tt qc
-23.954489 153.02988 2.574000120162964 8588.931416558102 4
-23.905525 153.05202 2.199000120162964 8588.931428493932 4
-23.85656 153.07413 2.4100000858306885 8588.931440248853 4
-23.807589 153.09622 2.369000196456909 8588.931452003773 4
-23.758612 153.1183 2.0920000076293945 8588.931463939487 4
-23.709631 153.14037 2.0810000896453857 8588.931475694408 4
-23.660645 153.1624 2.0400002002716064 8588.931487449328 4
-23.611654 153.18442 2.009999990463257 8588.931499385159 1
-23.562658 153.20642 2.0190000534057617 8588.93151114008 1
-23.513659 153.2284 2.2910001277923584 8588.931522895 1
-23.464655 153.25035 2.243000030517578 8588.93153464992 1
-23.415644 153.2723 2.1750001907348633 8588.931546585634 1
-23.366629 153.29422 2.017000198364258 8588.931558340555 1
-23.31761 153.31612 2.307000160217285 8588.931570095476 1
-23.268585 153.338 2.075000047683716 8588.931582031306 1
-23.219559 153.35986 2.1540000438690186 8588.931593786227 1
-23.170525 153.38171 2.194000005722046 8588.93160554103 1
-23.121487 153.40353 2.3540000915527344 8588.931617295952 1
-23.072445 153.42535 2.0920000076293945 8588.931629231782 1
-23.023397 153.44714 2.0180001258850098 8588.931640986702 1
-23.70354 153.0158 1.7080000638961792 8594.447091652197 1
-23.752525 153.03784 1.8360000848770142 8594.447103497572 1
-23.801504 153.05992 1.6070001125335693 8594.447115342831 1
-23.85048 153.08202 1.6510000228881836 8594.447127097752 1
-23.89945 153.10413 1.6820000410079956 8594.447138943127 1
-23.948416 153.12627 1.6530001163482666 8594.447150698048 1
-23.997375 153.14842 1.7030000686645508 8594.447162543423 1
-23.99466 153.01038 1.0810000896453857 8598.847054398153 1
-23.945704 153.03252 0.971000075340271 8598.847066333867 1
-23.896742 153.05466 1.2620000839233398 8598.847078088787 1
-23.847775 153.07677 1.2010000944137573 8598.847089843708 1
-23.798805 153.09886 1.0520000457763672 8598.847101598629 1
-23.749828 153.12093 1.2040001153945923 8598.847113534459 1
-23.700848 153.14299 1.2360000610351562 8598.84712528938 1
-23.651863 153.16502 1.4860000610351562 8598.8471370443 1
-23.602873 153.18703 0.690000057220459 8598.847148980014 2
-23.553879 153.20903 1.283000111579895 8598.847160734935 1
-23.504879 153.231 0.8090000152587891 8598.847172489855 1
-23.455873 153.25296 0.9110000729560852 8598.847184244776 1
-23.406864 153.2749 1.0980000495910645 8598.847196180606 1
-23.357851 153.29681 1.0780000686645508 8598.847207935527 2
-23.308832 153.31871 2.1550002098083496 8598.847219690448 4
-23.25981 153.34059 1.5380001068115234 8598.847231626161 1
-23.210781 153.36246 1.1440000534057617 8598.847243381082 1
-23.161749 153.3843 1.1160000562667847 8598.847255136003 1
-23.11271 153.40611 2.070000171661377 8598.847266890923 4
-23.06367 153.42792 1.2440000772476196 8598.847278826637 1
-23.014624 153.4497 1.253000020980835 8598.847290581558 2
-23.713202 153.01797 4.0920000076293945 8604.362738805707 4
-23.762186 153.04002 3.884000301361084 8604.362750651082 4
-23.811167 153.0621 3.7380001544952393 8604.362762496341 4
-23.860142 153.08421 3.763000249862671 8604.362774251262 4
-23.90911 153.10632 3.9270002841949463 8604.362786096637 4
