Tz,date,wh
5.194037603685515,1985-04-05 21:27:30.469790,1.3633999824523926
5.569864779713976,1985-04-14 09:26:31.513184,1.3511250019073486
5.315129022900933,1985-05-07 11:06:14.088943,1.34530770778656
6.179490669520977,1985-05-30 12:45:54.566106,2.0326924324035645
5.682882956676059,1985-06-02 12:54:42.804684,1.6260000467300415
4.322023360683719,1985-06-25 14:34:14.719868,0.9227856993675232
5.121675617468771,1985-08-10 17:53:29.313367,1.345666766166687
5.294743058069123,1985-09-02 19:32:58.781247,2.313499927520752
5.488117706164584,1985-09-05 19:41:45.054690,2.4012999534606934
4.629636225569389,1985-09-28 21:21:12.227023,1.3407059907913208
3.5235204883887894,1985-10-16 11:10:26.379465,0.32442858815193176
5.608650400915888,1985-11-08 12:49:40.654948,1.9190832376480105
6.1583110777234,1985-11-14 00:39:52.969910,1.4140626192092896
5.188205417955083,1985-12-07 02:18:58.426560,1.2756000757217407
4.969924917076548,1986-01-19 17:56:10.249999,0.5147500038146973
6.189665565316229,1986-02-11 19:35:15.709374,0.3118000030517578
3.4583557168161683,1986-03-12 09:03:50.362630,0.5635000467300415
6.499002220955573,1986-04-04 10:42:45.532226,2.66937518119812
4.82423322188208,1986-04-07 10:51:29.847656,1.7990001440048218
4.217593244652012,1986-04-27 12:21:35.900392,0.3752500414848328
5.250681143209234,1986-04-30 12:30:16.296876,1.867833495140076
8.143097786506816,1986-05-20 14:00:18.828125,2.049000024795532
5.41368598266358,1986-06-15 15:47:27.441408,1.5727500915527344
5.587744140805353,1986-07-08 17:26:04.973959,1.484222173690796
6.301668280902113,1986-07-31 19:04:30.748437,2.594500064849853
5.494466655978023,1986-08-23 20:43:03.382813,1.5413334369659424
5.34485025337279,1986-09-07 10:23:24.462890,1.7700001001358032
4.338072146661666,1986-09-15 22:21:26.709374,0.5022000074386597
5.054542589898063,1986-09-30 12:01:47.789062,0.9578571319580078
4.54779008880685,1986-11-09 14:52:02.053126,1.091466784477234
5.910331387400895,1986-11-26 16:04:46.157366,1.4560716152191162
5.274504237561878,1986-12-02 03:51:46.059461,1.3003333806991575
3.9325379139815135,1986-12-13 17:17:25.153647,0.5020000338554382
6.2362131605275035,1986-12-19 05:04:29.324870,1.2756667137145996
4.2719780233718305,1987-02-02 20:55:42.984375,1.1337333917617798
7.163233567396604,1987-02-08 08:42:42.046875,1.6050714254379272
4.983277436222142,1987-02-19 22:08:26.952008,1.2616428136825562
5.008681101948106,1987-03-14 11:08:07.810936,2.132000207901001
4.929146873828512,1987-03-31 12:20:53.035590,1.857777953147888
5.494827528632013,1987-04-17 13:33:33.140626,1.3235714435577393
5.476565182226352,1987-05-21 15:59:00.583334,1.7871668338775637
5.320288579771406,1987-06-07 17:11:40.910156,1.7687501907348633
5.824273528428451,1987-07-11 19:37:09.443510,2.3029232025146484
4.9488539876715745,1987-07-28 20:49:47.282987,1.7294446229934692
5.8066605487112035,1987-09-12 12:40:59.775521,2.489666700363159
4.845323647119704,1987-09-18 00:27:58.138340,0.9907142519950868
5.586552123033744,1987-09-29 13:53:40.594868,1.4182857275009155
4.9633810372221605,1987-10-05 01:40:39.834244,0.6091334223747253
5.141725015736128,1987-12-12 06:31:19.714840,2.2220001220703125
3.3058584560575515,1987-12-29 07:44:10.822545,0.6212143898010254
5.782580047622112,1988-01-15 08:56:54.622559,1.1555625200271606
3.524778738134128,1988-01-26 22:22:34.394533,0.6211667060852051
6.589031975489064,1988-03-06 12:34:57.021874,1.914400100708008
4.934890477733131,1988-03-23 13:47:32.453123,2.888999938964844
6.38873306569719,1988-04-26 16:13:02.422851,2.7128751277923584
6.69358904457502,1988-05-13 17:25:38.343751,3.370333433151245
6.109379592995158,1988-05-30 18:38:22.593749,2.8127999305725098
6.827887228138195,1988-07-03 21:03:54.526041,1.9389444589614868
5.335514269244625,1988-07-20 22:16:36.815973,1.7551112174987793
6.22506560100942,1988-08-01 11:42:15.423958,2.5243337154388428
5.114076939927838,1992-10-16 19:47:40.636160,1.8648571286882676
4.812981476735869,1992-10-21 07:41:34.203125,1.993000030517578
5.137526232027977,1992-10-26 17:46:12.123047,1.4130001068115234
6.0545796985411595,1992-10-31 05:40:06.234020,2.112908970225941
5.51119628119995,1992-11-05 15:44:44.243057,1.237444559733073
6.823953670756014,1992-11-10 03:38:38.260156,0.8329000473022461
5.015655007908359,1992-11-15 13:43:16.501736,1.7761111789279511
5.374176278228074,1992-11-20 01:37:10.566850,0.8379091783003374
3.789969754277431,1992-11-25 11:41:50.242188,0.5690000057220459
4.851988960510599,1992-12-05 09:40:19.425347,0.4873333507113986
5.040182505194791,1992-12-09 21:34:13.232811,0.5692000389099121
5.648567945366114,1992-12-16 13:04:27.930397,0.9048181013627484
5.7515833001860734,1992-12-19 19:32:49.593749,1.4130001068115234
6.031351023559475,1992-12-25 05:37:21.919922,1.5710000991821291
6.8448598727621075,1992-12-29 17:31:16.711806,1.295888900756836
7.103257074921214,1993-01-04 03:35:56.876955,0.7800000309944153
5.057238236919473,1993-01-08 15:29:45.845982,1.684000015258789
4.807528057530895,1993-01-14 01:34:24.498699,1.5885000228881836
5.352097568381783,1993-01-18 13:28:19.776988,1.8348184065385296
5.067612218363106,1993-01-23 23:32:57.288194,1.5182223849826388
5.139079073410167,1993-01-28 11:26:52.280382,0.8036667505900065
6.207124605854778,1993-02-02 21:31:27.410714,2.5878573826381137
6.261286347090232,1993-02-07 09:25:23.259375,1.4867000579833984
5.039825958951514,1993-02-12 19:30:00.373264,1.2961112128363714
