Date,Wh
2014-2,1.268419792
2014-3,1.733867893
2014-4,1.866012965
2014-5,2.070463733
2014-6,2.480679092
2014-7,1.996541481
2014-8,2.252148226
2014-9,1.828442751
2014-10,1.667078662
2014-11,1.15875229
2014-12,0.691593558
2015-1,1.282320576
2015-2,1.58327097
2015-3,2.136492299
2015-4,1.677242239
2015-5,1.975037441
2015-6,2.187686275
2015-7,2.221574631
2015-8,1.575949418
2015-9,1.304804928
2015-10,1.662024546
2015-11,1.265013017
2015-12,0.919525605
2016-1,0.940953197
2016-2,1.528159899
2016-3,1.180943725
2016-4,1.958871413
2016-5,1.700138985
2016-6,1.865567542
2016-7,2.093468702
2016-8,2.145878763
2016-9,1.684191108
2016-10,1.666647307
2016-11,1.076789712
2016-12,1.126543713
2017-1,0.64618728
2017-2,1.025579528
2017-3,0.934061751
2017-4,2.3881477
2017-5,2.105902764
2017-6,2.389832027
2017-7,2.223470233
2017-8,1.876795228
2017-9,2.192649463
2017-10,1.33928238
2017-11,1.45276527
2017-12,0.907365904
2018-1,1.198400788
2018-2,0.976062732
2018-3,1.353098402
2018-4,1.646558769
2018-5,2.265013296
2018-6,2.046110316
2018-7,1.951679339
2018-8,1.390288648
2018-9,1.852402162
2018-10,1.314990585
2018-11,1.21329229
2018-12,1.196878759
